# submitted_item	validated_id	current_symbol
CR43907	unknown ID	-
Egm	FBgn0086712	Egm
CG9005	FBgn0033638	CG9005
CG9003	FBgn0033639	CG9003
CG34228	FBgn0085257	CG34228
Roc2	FBgn0044020	Roc2
CG13198	FBgn0033640	CG13198
Tret1-1	FBgn0050035	Tret1-1
Tret1-2	FBgn0033644	Tret1-2
Buffy	FBgn0040491	Buffy
CG13196	FBgn0033645	CG13196
wal	FBgn0010516	wal
CG13197	FBgn0062449	CG13197
pyr	FBgn0033649	pyr
ths	FBgn0033652	ths
CG13192	FBgn0033653	CG13192
Sobp	FBgn0033654	Sobp
CG34229	FBgn0259832	CG34229
S2P	FBgn0033656	S2P
CG43190	FBgn0262819	CG43190
Sln	FBgn0033657	Sln
Mtor	FBgn0013756	Mtor
CG34230	FBgn0085259	CG34230
Twdlbeta	FBgn0033658	Twdlbeta
Damm	FBgn0033659	Damm
CG42531	FBgn0260436	CG42531
CG13185	FBgn0033661	CG13185
cuff	FBgn0260932	cuff
ERp60	FBgn0033663	ERp60
eEF1alpha1	FBgn0284245	eEF1alpha1
MCPH1	FBgn0260959	MCPH1
Zip48C	FBgn0033665	Zip48C
reb	FBgn0033667	reb
exp	FBgn0033668	exp
PI31	FBgn0033669	PI31
ADD1	FBgn0026573	ADD1
GalT1	FBgn0053145	GalT1
RnrS	FBgn0011704	RnrS
CG34231	FBgn0085260	CG34231
rho-7	FBgn0033672	rho-7
CG8298	FBgn0033673	CG8298
otk	FBgn0004839	otk
otk2	FBgn0267728	otk2
Mppe	FBgn0259985	Mppe
pds5	FBgn0260012	pds5
CG8321	FBgn0033677	CG8321
CG43191	FBgn0262820	CG43191
128up	FBgn0010339	128up
RpIII128	unknown ID	-
Drep1	FBgn0024732	Drep1
CG44314	FBgn0265373	CG44314
Drep3	FBgn0028407	Drep3
CG18343	FBgn0033683	CG18343
SkpB	FBgn0026176	SkpB
Smyd4-4	FBgn0027495	Smyd4-4
OSCP1	FBgn0033685	OSCP1
Hen1	FBgn0033686	Hen1
CG8878	FBgn0027504	CG8878
CG8407	FBgn0033687	CG8407
Prp8	FBgn0033688	Prp8
CG13177	FBgn0040759	CG13177
CG34232	FBgn0085261	CG34232
Oda	FBgn0014184	Oda
SmD3	FBgn0023167	SmD3
CR46194	unknown ID	-
CCT5	FBgn0010621	CCT5
EndoG	FBgn0033690	EndoG
CR45264	unknown ID	-
CG8860	FBgn0033691	CG8860
wash	FBgn0033692	wash
SmF	FBgn0000426	SmF
Cyp6g1	FBgn0025454	Cyp6g1
Cyp6g2	FBgn0033696	Cyp6g2
CG8858	FBgn0033698	CG8858
RpS11	FBgn0033699	RpS11
Sr-CII	FBgn0020377	Sr-CII
CG8854	FBgn0033702	CG8854
CG13168	FBgn0033705	CG13168
Cam	FBgn0000253	Cam
CR43900	unknown ID	-
CG42700	FBgn0261611	CG42700
CG8850	FBgn0033708	CG8850
CG13164	FBgn0061197	salto
CG17739	FBgn0033710	CG17739
CG30203	FBgn0050203	CG30203
CG30046	FBgn0050046	CG30046
CR44316	unknown ID	-
mIF3	FBgn0033712	mIF3
CG8841	FBgn0033713	CG8841
garz	FBgn0264560	garz
CG8490	FBgn0033715	CG8490
CG34021	FBgn0054021	CG34021
Den1	FBgn0033716	Den1
CG8839	FBgn0033717	CG8839
ana3	FBgn0266111	ana3
CG30047	FBgn0050047	CG30047
CG8501	FBgn0033724	CG8501
CG8520	FBgn0033734	CG8520
CG8525	unknown ID	-
CG13154	FBgn0033736	CG13154
Nup54	FBgn0033737	Nup54
DUBAI	FBgn0033738	DUBAI
Tmem18	FBgn0050051	Tmem18
Dyb	FBgn0033739	Dyb
CG30334	FBgn0050334	CG30334
Lac	FBgn0010238	Lac
dgt5	FBgn0033740	dgt5
CG8545	FBgn0033741	CG8545
CG8550	unknown ID	-
Dh44-R2	FBgn0033744	Dh44-R2
CG34234	FBgn0085263	CG34234
fdl	FBgn0045063	fdl
vis	FBgn0033748	vis
achi	FBgn0033749	achi
CG13151	FBgn0033750	CG13151
CG8818	FBgn0033751	CG8818
CG8569	FBgn0033752	CG8569
CG33632	FBgn0053632	CG33632
fra	FBgn0011592	fra
CG33775	FBgn0053775	CG33775
Cyp301a1	FBgn0033753	Cyp301a1
Ak6	FBgn0033754	Ak6
stil	FBgn0003527	stil
ClC-b	FBgn0033755	ClC-b
Sin3A	FBgn0022764	Sin3A
CR30055	FBgn0050055	lncRNA:CR30055
CR45279	unknown ID	-
Amph	FBgn0027356	Amph
Galphaq	FBgn0004435	Galphaq
CG30054	FBgn0050054	CG30054
CG17760	FBgn0033756	CG17760
muskelin	FBgn0033757	muskelin
CG33792	FBgn0053792	CG33792
spt4	FBgn0028683	spt4
Iswi	FBgn0011604	Iswi
CG8785	FBgn0033760	CG8785
CG8778	FBgn0033761	CG8778
ZnT49B	FBgn0033762	ZnT49B
nemy	FBgn0261673	nemy
GLS	FBgn0261625	GLS
CG8771	unknown ID	-
CG13148	FBgn0033767	CG13148
Obp49a	FBgn0050052	Obp49a
CG8768	FBgn0033769	CG8768
wuc	FBgn0033770	wuc
CG42663	FBgn0261545	CG42663
Mos	FBgn0033773	Mos
Taz	FBgn0026619	Taz
mRpL18	FBgn0026741	mRpL18
ox	FBgn0011227	ox
Dgkepsilon	FBgn0020930	Dgkepsilon
Nacalpha	FBgn0086904	Nacalpha
CG12374	FBgn0033774	CG12374
sca	FBgn0003326	sca
Cyp9h1	FBgn0033775	Cyp9h1
antr	FBgn0050488	antr
CG17574	FBgn0033777	CG17574
CR45140	unknown ID	-
bic	FBgn0000181	bic
CG3790	unknown ID	-
CG3814	FBgn0025692	Lfg
CR43468	unknown ID	-
AspRS	FBgn0002069	AspRS
Nmda1	FBgn0013305	Nmda1
CR45141	unknown ID	-
vg	FBgn0003975	vg
NAT1	FBgn0010488	NAT1
CG13319	FBgn0033781	CG13319
sug	FBgn0033782	sug
CG17019	FBgn0033783	CG17019
SCCRO3	FBgn0033784	SCCRO3
Sans	FBgn0033785	Sans
Mdr49	FBgn0004512	Mdr49
CG44250	FBgn0265185	CG44250
CG13321	FBgn0033787	CG13321
Psc	FBgn0005624	Psc
CR44339	unknown ID	-
Su(z)2	FBgn0265623	Su(z)2
CG3955	FBgn0033793	CG3955
Cap-G	FBgn0259876	Cap-G
Ack-like	FBgn0263998	Ack-like
TppII	FBgn0020370	TppII
ND-MWFE	FBgn0085468	ND-MWFE
Nrk	FBgn0020391	Nrk
CG15870	FBgn0033798	CG15870
GLaz	FBgn0033799	GLaz
Spt-I	FBgn0086532	Spt-I
CR45142	unknown ID	-
AGBE	FBgn0053138	AGBE
CG33137	FBgn0053137	CG33137
CG17724	FBgn0033802	CG17724
Kdm4B	FBgn0053182	Kdm4B
seq	FBgn0028991	seq
ValRS	FBgn0027079	ValRS
FLASH	FBgn0033806	FLASH
AQP	FBgn0033807	AQP
CG4627	FBgn0033808	CG4627
CG4630	FBgn0033809	CG4630
CG4646	FBgn0033810	CG4646
CG17059	FBgn0040754	CG17059
Fsn	FBgn0043010	Fsn
Dp	FBgn0011763	Dp
CR43918	unknown ID	-
Pex13	FBgn0033812	Pex13
fsd	FBgn0033813	fsd
CG4670	unknown ID	-
CG4676	FBgn0033815	CG4676
CG4679	FBgn0033816	CG4679
GstE14	FBgn0033817	GstE14
Mp20	FBgn0002789	Mp20
CG42319	FBgn0259219	CG42319
CR44206	unknown ID	-
CG10814	FBgn0033830	CG10814
CG4744	FBgn0033834	CG4744
CG18278	FBgn0033836	CG18278
CR45470	FBgn0267026	CR45470
CG42321	FBgn0259221	ATP8A
cnn	FBgn0013765	cnn
cbs	FBgn0086757	cbs
arr	FBgn0000119	arr
cbc	FBgn0033842	cbc
cid	FBgn0040477	cid
bbc	FBgn0033844	bbc
drk	FBgn0004638	drk
mars	FBgn0033845	mars
mip120	FBgn0033846	mip120
mEFTu1	FBgn0024556	mEFTu1
CG13330	FBgn0033848	CG13330
CG6145	FBgn0033853	CG6145
CG33156	FBgn0053156	CG33156
Roe1	FBgn0014877	Roe1
link	FBgn0033855	link
snoRNA:Psi28S-1153	FBgn0083006	snoRNA:Psi28S-1153
CG42807	FBgn0261989	CG42807
CG42808	FBgn0261990	CG42808
CR44366	unknown ID	-
CG6191	FBgn0027581	CG6191
fand	FBgn0033859	fand
fas	unknown ID	-
CG6209	FBgn0033862	CG6209
CG13337	FBgn0033863	CG13337
CG18368	FBgn0033864	CG18368
CG6220	FBgn0033865	CG6220
CG6280	FBgn0033866	CG6280
stj	FBgn0261041	stj
fl(2)d	FBgn0000662	fl(2)d
CG13339	FBgn0033871	CG13339
CG6329	FBgn0033872	CG6329
CG6347	FBgn0033874	CG6347
CG6357	FBgn0033875	CG6357
Syngr	FBgn0033876	Syngr
CG30484	FBgn0050484	CG30484
CG6543	FBgn0033879	Echs1
CG6553	FBgn0033880	CG6553
CR44367	unknown ID	-
tum	FBgn0086356	tum
Uba3	FBgn0263697	Uba3
CG16935	FBgn0033883	CG16935
CG13344	FBgn0033884	CG13344
shot	FBgn0013733	shot
DJ-1alpha	FBgn0033885	DJ-1alpha
AGO1	FBgn0262739	AGO1
Rpn13	FBgn0033886	Rpn13
Cp1	FBgn0013770	Cp1
CG42806	FBgn0261975	CG42806
PheRS-m	FBgn0275436	PheRS-m
St4	FBgn0033887	St4
CG18568	FBgn0033888	CG18568
CG6701	FBgn0033889	CG6701
Ctf4	FBgn0033890	Ctf4
CG8067	FBgn0033891	CG8067
RN-tre	FBgn0020620	RN-tre
mam	FBgn0002643	mam
CG18371	FBgn0033893	CG18371
Prosap	FBgn0040752	Prosap
Rcd1	FBgn0033897	Rcd1
pea	FBgn0086895	pea
CG13018	FBgn0040751	CG13018
CG13016	FBgn0033899	CG13016
CysRS-m	FBgn0033900	CysRS-m
O-fut1	FBgn0033901	O-fut1
eIF3m	FBgn0033902	eIF3m
CG8323	FBgn0033903	CG8323
CG18327	FBgn0033904	CG18327
CG18324	FBgn0033905	CG18324
CR44368	unknown ID	-
CG8331	unknown ID	-
mRpS16	FBgn0033907	mRpS16
cg	FBgn0000289	cg
CG30069	FBgn0050069	CG30069
Sox15	FBgn0005613	Sox15
RpS23	FBgn0033912	RpS23
CG8468	FBgn0033913	CG8468
Opa1	FBgn0261276	Opa1
CG8485	FBgn0033915	CG8485
Usp20-33	FBgn0033916	Usp20-33
SmydA-1	FBgn0033917	SmydA-1
Mdr50	FBgn0010241	Mdr50
Hsc70-5	FBgn0001220	Hsc70-5
CG8531	FBgn0033918	CG8531
beta4GalNAcTA	FBgn0027538	beta4GalNAcTA
CG8547	FBgn0033919	CG8547
SelD	unknown ID	-
conv	FBgn0261269	conv
Ih	FBgn0263397	Ih
tej	FBgn0033921	tej
Shroom	unknown ID	-
CG8613	FBgn0033924	CG8613
CG8617	FBgn0033925	CG8617
Arc1	FBgn0033926	Arc1
Arc2	FBgn0033928	Arc2
Tfb1	FBgn0033929	Tfb1
CG34184	FBgn0085213	CG34184
CG34442	FBgn0085471	CG34442
Dh44-R1	FBgn0033932	Dh44-R1
CG17385	FBgn0033934	CG17385
Sin1	FBgn0033935	Sin1
CG17386	unknown ID	-
Oaz	FBgn0284250	Oaz
PRAS40	FBgn0267824	PRAS40
Cpsf160	FBgn0024698	Cpsf160
Asx	FBgn0261823	Asx
Cpr51A	FBgn0033942	Cpr51A
CG30197	FBgn0050197	CG30197
ttv	FBgn0265974	ttv
LamC	FBgn0010397	LamC
CG12869	FBgn0033943	CG12869
RpI1	unknown ID	-
Blos1	FBgn0050077	Blos1
tra2	FBgn0003742	tra2
scaRNA:PsiU5-44	FBgn0263487	scaRNA:PsiU5-44
CG12868	FBgn0033945	CG12868
CG33469	FBgn0053469	CG33469
CG33468	FBgn0053468	CG33468
Su(var)2-HP2	FBgn0026427	Su(var)2-HP2
Sec61beta	FBgn0010638	Sec61beta
CG12863	FBgn0033948	CG12863
Uhg5	FBgn0083123	Uhg5
CG10131	unknown ID	-
CG43236	unknown ID	-
CR42715	unknown ID	-
CG10139	FBgn0033951	CG10139
mspo	FBgn0020269	mspo
Rpn6	FBgn0028689	Rpn6
ave	FBgn0050476	ave
CG10151	FBgn0033960	CG10151
ND-B15	FBgn0033961	ND-B15
Trs31	FBgn0266723	Trs31
Spred	FBgn0020767	Spred
CR42254	FBgn0259112	asRNA:CR42254
BEAF-32	FBgn0015602	BEAF-32
hui	FBgn0033968	hui
NaPi-T	FBgn0016684	NaPi-T
CG10209	FBgn0033971	CG10209
SMC2	FBgn0027783	SMC2
Ercc1	FBgn0028434	Ercc1
Ciao1	FBgn0033972	Ciao1
HPS1	FBgn0033973	HPS1
CG33506	FBgn0053506	CG33506
U3-55K	FBgn0053505	U3-55K
Pcf11	FBgn0264962	Pcf11
Cyp6a22	FBgn0013773	Cyp6a22
Cyp6a17	FBgn0015714	Cyp6a17
Cyp6a23	FBgn0033978	Cyp6a23
Cyp6a19	FBgn0033979	Cyp6a19
Cyp6a9	FBgn0013771	Cyp6a9
Cyp6a20	FBgn0033980	Cyp6a20
Cyp6a21	FBgn0033981	Cyp6a21
Cyp6a8	FBgn0013772	Cyp6a8
Cyp317a1	FBgn0033982	Cyp317a1
Kank	FBgn0027596	Kank
ADPS	unknown ID	-
Lap1	FBgn0033984	Lap1
CG10257	FBgn0033985	CG10257
aPKC	FBgn0261854	aPKC
ckn	FBgn0033987	ckn
pcs	FBgn0033988	pcs
CG7639	FBgn0033989	CG7639
CG10265	FBgn0033990	CG10265
CR43830	unknown ID	-
hbs	FBgn0287864	hbs
chn	FBgn0015371	chn
Rpb12	unknown ID	-
CG8089	FBgn0033993	CG8089
CG7544	FBgn0033994	CG7544
GPHR	FBgn0033995	GPHR
CG11807	FBgn0033996	CG11807
CG42391	FBgn0259737	CG42391
row	FBgn0033998	row
CG8093	FBgn0033999	CG8093
CG11808	FBgn0034000	CG11808
mRpL41	FBgn0034001	mRpL41
CR44463	unknown ID	-
CG8079	FBgn0034002	CG8079
Hex-C	FBgn0001187	Hex-C
Fs	FBgn0259878	Fs
CR44370	unknown ID	-
scb	FBgn0286785	scb
ItgaPS4	FBgn0034005	ItgaPS4
Trpm	FBgn0265194	Trpm
CG8152	FBgn0034008	CG8152
Xpc	FBgn0004698	Xpc
CG8155	FBgn0034009	CG8155
Arf51F	FBgn0013750	Arf51F
Hr51	FBgn0034012	Hr51
unc-5	FBgn0034013	unc-5
Pms2	FBgn0011660	Pms2
CR44458	unknown ID	-
CR44459	unknown ID	-
CR43275	FBgn0262964	CR43275
CR43105	FBgn0262565	CR43105
CR43186	FBgn0262815	CR43186
dup	FBgn0000996	dup
SRPK	FBgn0286813	SRPK
CG43729	FBgn0263980	Stacl
CG8180	FBgn0034021	CG8180
GalNAc-T1	unknown ID	-
Khc-73	FBgn0019968	Khc-73
CG30467	FBgn0050467	CG30467
CG8187	FBgn0034027	CG8187
CR45927	unknown ID	-
Vha36-1	FBgn0022097	Vha36-1
eIF2Bgamma	FBgn0034029	eIF2Bgamma
CG12963	FBgn0034031	CG12963
CG8195	FBgn0034032	CG8195
Flo1	FBgn0024754	Flo1
CG30466	FBgn0050466	CG30466
Cdk5	FBgn0013762	Cdk5
CG8204	FBgn0034033	CG8204
CG42524	FBgn0260429	CG42524
fus	FBgn0023441	fus
CR45143	unknown ID	-
CG8207	FBgn0034035	CG8207
Vha14-1	FBgn0262512	Vha14-1
CG30091	FBgn0050091	CG30091
CR43429	unknown ID	-
Ranbp11	unknown ID	-
CG30090	FBgn0050090	CG30090
CG30087	FBgn0050087	CG30087
CG33460	FBgn0053460	CG33460
CG33462	FBgn0053462	CG33462
CG30089	FBgn0050089	CG30089
Zasp52	FBgn0265991	Zasp52
tun	FBgn0034046	tun
CG8249	FBgn0034045	CG8249
CG12970	FBgn0034047	CG12970
Gpo-1	unknown ID	-
Rif1	FBgn0050085	Rif1
sli	FBgn0264089	sli
bdg	FBgn0034049	bdg
Diap2	FBgn0015247	Diap2
bug	FBgn0034050	bug
Mlf	FBgn0034051	Mlf
CG8299	FBgn0034052	CG8299
Cyp4aa1	FBgn0034053	Cyp4aa1
Strn-Mlck	FBgn0265045	Strn-Mlck
CG8366	FBgn0034054	CG8366
CG8314	FBgn0034057	CG8314
Pex11	unknown ID	-
CG8320	FBgn0034059	CG8320
ATPCL	FBgn0020236	ATPCL
CG8370	unknown ID	-
Ufc1	FBgn0034061	Ufc1
CG8389	FBgn0034063	CG8389
CG8388	FBgn0034062	CG8388
Prosbeta1	FBgn0010590	Prosbeta1
Rrp42	FBgn0034065	Rrp42
CG8397	unknown ID	-
CG8399	FBgn0034067	CG8399
casp	FBgn0034068	casp
CG8401	FBgn0034069	CG8401
SP2353	FBgn0034070	SP2353
CG8405	FBgn0034071	CG8405
Dg	FBgn0034072	Dg
mRpL34	FBgn0083983	mRpL34
CG8414	FBgn0034073	CG8414
Rho1	FBgn0014020	Rho1
Ric	FBgn0265605	Ric
Asph	FBgn0034075	Asph
Jhedup	FBgn0034076	Jhedup
Jhe	FBgn0010052	Jhe
CG30095	FBgn0050095	CG30095
spin	FBgn0086676	spin
Got1	FBgn0001124	Got1
CG30094	FBgn0050094	CG30094
CysRS	FBgn0027091	CysRS
Ext2	unknown ID	-
CG10731	FBgn0034081	CG10731
lbk	FBgn0034083	lbk
CR45993	unknown ID	-
CR45994	unknown ID	-
CG10734	FBgn0034082	CG10734
CG8435	FBgn0034084	CG8435
Ptp52F	FBgn0034085	Ptp52F
Lis-1	FBgn0015754	Lis-1
CG8441	FBgn0034086	CG8441
clu	FBgn0034087	clu
calypso	FBgn0262166	calypso
CG44242	FBgn0265177	CG44242
CG44243	FBgn0265178	CG44243
Shark	FBgn0015295	Shark
mrj	FBgn0034091	mrj
CG7798	FBgn0034092	CG7798
CG15706	FBgn0034093	CG15706
CG15701	FBgn0034095	CG15701
krimp	FBgn0034098	krimp
fidipidine	FBgn0025519	fidipidine
csul	FBgn0015925	csul
Khc	FBgn0001308	Khc
CG33017	FBgn0053017	CG33017
cato	FBgn0024249	cato
CG15705	FBgn0034104	CG15705
CG7755	FBgn0034105	CG7755
CG9068	FBgn0034106	CG9068
CG30324	FBgn0050324	CG30324
CG30099	FBgn0050099	CG30099
CR43730	unknown ID	-
JhI-26	FBgn0028424	JhI-26
CG7747	FBgn0034109	CG7747
Atg9	FBgn0034110	Atg9
CR45232	FBgn0267793	lncRNA:CR45232
Nox	FBgn0085428	Nox
CG8060	FBgn0034113	CG8060
CG30096	FBgn0050096	CG30096
CG4282	FBgn0034114	CG4282
Vha44	FBgn0287825	Vha44
Hmgs	FBgn0010611	Hmgs
CG7997	FBgn0034117	CG7997
Nup62	FBgn0034118	Nup62
wcd	FBgn0262560	wcd
Sema2b	FBgn0264273	Sema2b
jtb	FBgn0034126	jtb
Sema2a	FBgn0011260	Sema2a
loopin-1	FBgn0259795	loopin-1
Syn2	FBgn0034135	Syn2
DAT	FBgn0034136	DAT
RpS15	FBgn0034138	RpS15
CG4927	FBgn0034139	CG4927
Lst	FBgn0034140	Lst
Cdk4	FBgn0016131	Cdk4
CR44375	unknown ID	-
RpLP2	FBgn0003274	RpLP2
CG8311	FBgn0034141	CG8311
CG8306	FBgn0034142	CG8306
CG8303	FBgn0034143	CG8303
CG5065	FBgn0034145	CG5065
Alk	FBgn0040505	Alk
Nach	FBgn0024319	Nach
Picot	FBgn0024315	Picot
CG34457	FBgn0085486	CG34457
CG30463	FBgn0050463	Pgant9
Idgf6	FBgn0013763	Idgf6
Sfp53D	FBgn0259967	Sfp53D
unc-104	FBgn0267002	unc-104
Sod2	FBgn0010213	Sod2
CG5522	FBgn0034158	CG5522
CG15919	FBgn0040743	CG15919
CR44380	unknown ID	-
CG5550	FBgn0034160	CG5550
CR43417	unknown ID	-
CG34459	FBgn0085488	CG34459
CG34460	FBgn0085489	CG34460
CR43650	unknown ID	-
Ugt37c1	unknown ID	-
CR44466	unknown ID	-
CR44467	unknown ID	-
IntS8	FBgn0025830	IntS8
Fen1	FBgn0025832	Fen1
Dek	FBgn0026533	Dek
snoRNA:Dek-a	FBgn0263462	snoRNA:Dek-a
Psi	FBgn0014870	Psi
eEF1beta	FBgn0028737	eEF1beta
CG6426	FBgn0034162	CG6426
CG6429	FBgn0046999	CG6429
CG6472	FBgn0034166	CG6472
Pkc53E	FBgn0003091	Pkc53E
mute	FBgn0085444	mute
Ufm1	FBgn0085220	Ufm1
PIG-V	FBgn0265174	PIG-V
CG6665	FBgn0034172	CG6665
CG9010	FBgn0034173	CG9010
ste24b	FBgn0034175	ste24b
ste24a	FBgn0034176	ste24a
AsnRS-m	FBgn0034177	AsnRS-m
NiPp1	FBgn0026402	NiPp1
CG6805	FBgn0034179	CG6805
Ehbp1	FBgn0034180	Ehbp1
CG8963	FBgn0034181	CG8963
Dark	FBgn0263864	Dark
CR44390	unknown ID	-
RhoGEF2	FBgn0023172	RhoGEF2
CR45145	unknown ID	-
SmydA-7	FBgn0034182	SmydA-7
SmydA-6	FBgn0034183	SmydA-6
CG9646	FBgn0034184	CG9646
fat-spondin	FBgn0026721	fat-spondin
tef	FBgn0086350	tef
CG8950	FBgn0034186	CG8950
CG6967	FBgn0034187	CG6967
CG30460	FBgn0050460	CG30460
Sply	FBgn0010591	Sply
CG6984	FBgn0034191	CG6984
GstS1	FBgn0010226	GstS1
CG30456	unknown ID	-
CG15611	FBgn0034194	CG15611
CR45272	unknown ID	-
CG15605	FBgn0034196	CG15605
Cda9	FBgn0034197	Cda9
CR45273	unknown ID	-
CG11400	FBgn0034198	CG11400
CR44391	FBgn0265541	CR44391
Gbp1	FBgn0034199	Gbp1
Gbp2	FBgn0034200	Gbp2
CG43103	FBgn0262563	CG43103
CG43107	FBgn0262567	CG43107
CR44386	unknown ID	-
mbl	FBgn0265487	mbl
CG43108	FBgn0262568	CG43108
tRNA:Ala-TGC-2-1	FBgn0011879	tRNA:Ala-TGC-2-1
CG10939	FBgn0010620	CG10939
CG6568	unknown ID	-
CG30101	FBgn0050101	Vajk4
Prosalpha5	FBgn0016697	Prosalpha5
cnk	FBgn0286070	cnk
l(2)k01209	FBgn0022029	l(2)k01209
CG6550	FBgn0034214	CG6550
Mtap	FBgn0034215	Mtap
Bap55	FBgn0025716	Bap55
Lhr	FBgn0034217	Lhr
EDTP	FBgn0027506	EDTP
CG18467	FBgn0034218	CG18467
mthl4	FBgn0034219	mthl4
mthl3	FBgn0028956	mthl3
CG10764	FBgn0034221	CG10764
robls54B	FBgn0263233	robls54B
robl	FBgn0024196	robl
CG14478	FBgn0028953	CG14478
Tes	FBgn0034223	Tes
qkr54B	FBgn0022987	qkr54B
insb	FBgn0034224	insb
CG43110	FBgn0262570	CG43110
veil	FBgn0034225	veil
NT5E-2	FBgn0050104	NT5E-2
CG30103	FBgn0050103	CG30103
nw	FBgn0283508	nw
CG4853	FBgn0034230	CG4853
APC10	FBgn0034231	APC10
CG4866	FBgn0034232	CG4866
Patronin	FBgn0263197	Patronin
eIF3b	FBgn0034237	eIF3b
Cc2d2a	FBgn0263113	Cc2d2a
CG34194	FBgn0085223	CG34194
cyp33	FBgn0028382	cyp33
RpL18A	FBgn0010409	RpL18A
MESR4	FBgn0034240	MESR4
Klp54D	FBgn0263076	Klp54D
CG43324	FBgn0263029	CG43324
CG14480	FBgn0034242	CG14480
Ns2	FBgn0034243	Ns2
POSH	FBgn0040294	POSH
UQCR-6.4	FBgn0034245	UQCR-6.4
CG42239	FBgn0250868	CG42239
Rab4	FBgn0016701	Rab4
Dcr-2	FBgn0034246	Dcr-2
CG6484	FBgn0034247	CG6484
CR45274	unknown ID	-
CG14483	FBgn0034248	CG14483
CR45275	unknown ID	-
RhoGAP54D	FBgn0034249	RhoGAP54D
icln	FBgn0029079	icln
CG30105	FBgn0050105	CG30105
Smurf	FBgn0029006	Smurf
CG10936	FBgn0034253	CG10936
CG44403	FBgn0265576	CG44403
rhi	FBgn0004400	rhi
Oxp	FBgn0034255	Oxp
eIF3c	FBgn0034258	eIF3c
CG30108	FBgn0050108	CG30108
CG30109	FBgn0050109	CG30109
CR44404	unknown ID	-
P32	FBgn0034259	P32
Sema1b	FBgn0016059	Sema1b
HPS4	FBgn0034261	HPS4
CG42561	FBgn0260763	CG42561
CG42562	FBgn0260764	CG42562
swi2	FBgn0034262	swi2
rdgBbeta	FBgn0027872	rdgBbeta
Uhg1	FBgn0045800	Uhg1
CG6424	FBgn0028494	CG6424
Dlish	FBgn0034264	Dlish
Snx16	FBgn0034265	Snx16
CG4975	FBgn0034266	CG4975
CG4984	FBgn0034267	CG4984
CG34195	FBgn0085224	CG34195
CG6406	unknown ID	-
PIG-A	FBgn0034270	PIG-A
Vps54L	unknown ID	-
sub	FBgn0003545	sub
CG10931	FBgn0034274	CG10931
CG5002	FBgn0034275	CG5002
Sardh	FBgn0034276	Sardh
HLH54F	FBgn0022740	HLH54F
CG5009	unknown ID	-
OstDelta	FBgn0034277	OstDelta
CG6362	FBgn0028740	CG6362
aft	FBgn0026309	aft
Ubc10	FBgn0026316	Ubc10
CG5033	FBgn0028744	CG5033
Dhit	FBgn0028743	Dhit
grh	FBgn0259211	grh
olf186-F	unknown ID	-
olf186-M	FBgn0015522	olf186-M
CG14490	FBgn0034281	CG14490
thr	FBgn0003701	thr
Mapmodulin	FBgn0034282	Mapmodulin
CR44417	unknown ID	-
Elk	FBgn0011589	Elk
CG5773	FBgn0034290	CG5773
CG34005	FBgn0054005	CG34005
CG5757	FBgn0034299	CG5757
CG5098	FBgn0034300	CG5098
stau	FBgn0003520	stau
Spn55B	FBgn0028983	Spn55B
Dlip3	FBgn0040465	Dlip3
Hsf	FBgn0001222	Hsf
Pcl	FBgn0003044	Pcl
pAbp	FBgn0265297	pAbp
CG17680	FBgn0062440	EMRE
CG5742	FBgn0034304	CG5742
adp	FBgn0000057	adp
lolal	FBgn0022238	lolal
CG10914	FBgn0034307	CG10914
CG10915	unknown ID	-
Nup75	FBgn0034310	Nup75
CG42518	FBgn0260392	CG42518
Dgp-1	FBgn0027836	Dgp-1
CR45315	FBgn0266854	CR45315
CG10916	FBgn0034312	CG10916
CG5726	FBgn0034313	CG5726
nopo	FBgn0034314	nopo
CG5721	FBgn0034315	CG5721
CG14499	FBgn0034317	CG14499
CG14500	FBgn0034318	CG14500
CR45311	unknown ID	-
fj	FBgn0000658	fj
Ote	FBgn0266420	Ote
pen-2	FBgn0053198	pen-2
sbb	FBgn0285917	sbb
CG14502	FBgn0034321	CG14502
CG18536	FBgn0034322	CG18536
IM1	unknown ID	-
GstE10	FBgn0063499	GstE10
GstE1	FBgn0034335	GstE1
GstE2	FBgn0063498	GstE2
GstE3	FBgn0063497	GstE3
CR43687	FBgn0263770	CR43687
CR43688	FBgn0263771	CR43688
GstE4	FBgn0063496	GstE4
GstE5	FBgn0063495	GstE5
GstE6	FBgn0063494	GstE6
GstE7	FBgn0063493	GstE7
GstE8	FBgn0063492	GstE8
GstE9	FBgn0063491	GstE9
imd	FBgn0013983	imd
Dp1	FBgn0027835	Dp1
CG5174	FBgn0034345	CG5174
PIG-O	FBgn0034346	PIG-O
Ttd14	FBgn0284257	Ttd14
slim	FBgn0261477	slim
Prp19	FBgn0261119	Prp19
rswl	FBgn0034351	rswl
CG30116	FBgn0028496	CG30116
GstE11	FBgn0034354	GstE11
CG43066	FBgn0262476	CG43066
CG10924	FBgn0003067	Pepck1
Rgk2	FBgn0085419	Rgk2
GEFmeso	FBgn0050115	GEFmeso
CG42697	FBgn0261587	CG42697
CG10927	FBgn0034360	CG10927
mRpS28	FBgn0034361	mRpS28
CG5323	FBgn0034362	CG5323
CG5327	FBgn0034363	CG5327
CG5493	FBgn0034364	CG5493
Atg7	FBgn0034366	Atg7
CG5335	FBgn0034365	CG5335
