BamHSbam_input_1	BamHSbam_input_2	BamHSbam_input_3	BamHSbam_input_4	BamHSbam_polysome_1	BamHSbam_polysome_2	BamHSbam_polysome_3	BamHSbam_polysome_4	BamRNAi_input_1	BamRNAi_input_2	BamRNAi_input_3	BamRNAi_polysome_1	BamRNAi_polysome_2	BamRNAi_polysome_3	TKV_input_1	TKV_input_2	TKV_polysome_1	TKV_polysome_2	youngWT_input_1	youngWT_input_2	youngWT_polysome_1	youngWT_polysome_2
0	0	0	98	5	1	90	109	1	8	1	12	28	64	52	34	63	18	13	86	0	101
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	19	8	0	0	14	14	15	12	10	0	0	2	8	4	0	0	12	0	0	0
0	0	0	2	0	0	0	2	3	0	2	0	2	5	0	0	0	0	26	5	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	316	182	631	432	5	1225	473	328	251	703	59	365	1305	246	109	255	174	680	2006	627	953
506	517	422	1639	892	81	1446	1025	1134	470	2602	64	564	1667	554	272	301	183	1488	2138	478	757
908	326	377	1077	936	95	1923	854	1479	942	2015	247	1706	1415	739	390	834	341	582	1287	184	796
1163	948	769	2567	1576	414	3550	2108	1703	1285	2606	460	1912	3360	1165	602	1523	533	1601	4069	1025	2053
1	0	31	30	75	0	38	10	29	17	83	0	12	13	7	12	0	0	19	21	13	18
1745	1851	1184	3962	3322	403	5466	3279	5170	2968	11062	1151	5684	11089	3849	2573	5904	2232	7869	15324	4454	11210
0	0	10	2	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0	3	0	13
12204	18043	18702	25223	12217	3932	40172	13393	18347	8920	42849	1225	5940	25753	8282	3943	2503	654	28272	42724	7441	9180
0	0	28	1	0	0	0	1	1	0	1	0	0	0	1	0	0	2	0	0	0	0
268	596	739	223	585	98	375	234	511	357	509	104	513	222	141	192	116	14	91	108	7	59
819	780	1096	1445	1206	294	1560	1526	891	942	1733	102	1078	1289	679	325	824	241	840	1127	425	693
387	281	310	417	683	87	975	464	631	355	915	65	517	518	337	158	383	110	351	558	215	309
360	331	324	435	545	154	370	398	389	380	986	124	877	725	254	144	352	309	316	578	186	563
865	865	864	1874	1205	49	1654	1291	1848	773	3832	139	1670	1814	777	443	677	341	1132	1801	261	757
264	278	317	312	274	72	369	411	180	156	317	11	346	225	107	69	151	65	116	178	122	107
501	404	344	1307	742	308	2400	1303	1037	702	1539	399	1426	1568	789	428	1176	582	874	1745	466	1056
207	117	187	336	182	1	270	358	212	208	520	136	408	387	114	90	346	85	217	459	300	572
100	79	104	177	215	77	242	260	213	169	348	103	326	515	234	111	361	188	376	655	158	878
1008	1098	1131	2546	3349	197	2686	1970	2147	1408	4155	374	2317	2167	1333	720	1365	466	976	1799	505	951
581	448	455	984	1654	87	1731	1275	895	986	1185	523	1516	1519	730	420	1368	619	875	1685	365	1823
14128	20675	25319	16637	27475	7697	36971	21227	11127	10495	35075	1939	16536	19746	7502	4499	10408	4149	10114	19862	6829	15919
537	785	871	1651	1191	234	2068	1355	1103	783	1978	184	1059	1567	671	465	656	220	983	1898	365	915
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	55	77	17	234	1	80	31	50	28	23	0	51	83	8	14	0	0	74	141	0	65
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	40	16	110	10	0	0	77	42	24	67	1	22	169	44	25	62	15	69	267	20	60
342	244	195	1668	971	77	3153	2741	1079	725	1378	446	1437	3081	778	475	1819	540	2998	4887	1859	4417
0	0	0	2	0	0	0	2	4	10	4	0	10	5	0	11	0	0	0	4	0	6
1165	1188	1399	1619	2548	305	2105	2106	902	777	1407	113	1149	1340	683	362	691	231	1315	1340	748	903
358	301	376	436	923	57	769	773	269	278	482	124	438	593	221	88	401	138	369	578	224	655
197	159	130	435	444	0	489	348	227	179	295	29	214	243	142	67	69	118	179	403	41	216
1305	1327	1574	2279	2842	527	2631	2097	2367	1763	3937	490	1834	2933	1352	854	1200	384	1906	3466	947	1790
891	1653	1623	4650	2966	719	4473	4582	2298	1195	3321	198	1655	3003	1192	640	1071	232	2537	4652	524	1678
662	993	1466	2186	1535	252	2498	1472	1006	544	2107	87	429	1478	457	202	103	38	904	2223	310	433
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1323	1181	1265	2055	1319	373	4153	2719	1315	1365	3594	348	2917	3826	837	629	2260	1461	1698	4078	2277	5336
354	363	411	699	506	117	1442	557	580	428	1124	133	521	802	378	230	488	273	395	968	188	627
0	9	7	15	29	0	0	27	228	128	168	90	351	58	62	28	87	37	0	0	0	0
27	48	29	27	101	26	405	24	120	171	117	36	155	62	41	54	0	34	13	41	4	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
301	162	243	68	138	42	35	27	207	212	251	27	200	71	47	59	17	20	17	46	0	23
0	1	2	8	0	1	1	3	0	1	0	0	0	0	0	1	0	0	3	0	3	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	159	0	1	0	2	0	0	5	1	0	0	0	0	0	0	0
621	603	500	1090	1355	64	968	689	686	609	1344	105	1092	1169	449	287	389	260	648	1397	351	984
30	140	53	242	129	1	763	112	62	79	175	0	100	148	56	12	40	15	122	309	43	114
382	285	208	861	734	229	1383	590	411	324	884	45	340	1145	413	210	300	86	864	1672	180	663
1708	2133	2849	3055	2847	384	5912	1867	2076	1454	4404	263	1523	2421	1251	616	751	208	1404	2618	360	748
528	1061	1066	2058	1444	148	1907	1654	711	345	1182	77	572	1095	373	255	274	57	834	1668	484	665
706	456	333	1346	916	1	1657	1066	585	294	897	145	558	1113	381	223	733	131	1165	1844	525	800
0	0	1	0	0	0	0	3	17	17	19	14	4	0	8	6	0	0	0	3	0	0
170	82	206	184	120	1	131	167	249	242	159	31	292	220	64	81	94	15	153	315	78	156
14	0	0	0	0	0	0	0	3	5	8	0	3	10	0	2	0	0	3	7	0	0
0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	2	0	0
0	0	1	14	0	0	10	1	5	3	1	0	0	18	9	2	0	0	13	31	0	1
326	518	606	135	632	244	885	68	959	602	1684	104	422	479	190	159	155	30	94	66	89	57
0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	5	0
40	0	0	0	0	0	0	0	2	4	3	0	2	3	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	39	102	45	102	56	13	24	105	169	168	63	185	91	83	67	32	4	103	23	52	8
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	10	0	3	0	1	0	0
801	832	828	1483	1423	263	2208	1050	1303	888	1757	223	1486	1662	782	507	726	374	1243	1847	571	1137
0	0	0	0	0	0	0	2	4	0	6	0	14	0	0	0	0	0	0	0	0	0
27	0	6	23	60	0	0	26	6	17	29	8	15	16	7	2	0	0	1	18	0	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
343	151	87	72	244	2	152	34	113	110	303	9	107	111	54	62	11	64	35	105	0	83
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3001	2342	2936	831	4590	1191	2784	646	2662	4202	4583	736	5464	1237	948	1206	963	1036	275	658	226	570
341	421	420	527	548	27	409	616	323	409	713	81	622	667	248	160	334	168	291	583	199	545
0	0	20	2	0	0	0	3	20	12	1	0	9	5	9	36	0	49	0	17	0	15
565	477	441	1247	845	5	907	860	421	253	654	51	429	684	302	147	207	147	492	1027	224	454
404	204	391	283	447	19	479	217	886	812	1832	90	576	466	627	441	664	210	18	15	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	10	2	0	0	0	2	3	1	8	0	0	6	0	0	11	0	0	6	0	0
1595	2036	1730	2512	3410	670	3827	1912	2796	2476	3137	404	4068	3465	1550	1123	2218	695	3479	3837	1712	4874
519	555	536	689	1380	212	4148	649	1444	1807	1608	647	2562	1457	925	457	1360	677	393	2107	277	1833
168	387	322	380	482	425	1606	220	963	1024	1448	153	1584	1329	892	467	913	504	600	1561	594	742
32	109	90	24	126	0	45	31	70	87	87	22	126	73	27	56	59	36	55	50	19	58
0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
0	0	10	5	0	0	0	5	0	2	1	0	12	0	0	0	0	0	0	2	0	0
577	212	234	98	784	14	209	104	2127	1512	3934	444	2100	1163	364	220	327	278	5	30	57	43
1022	796	968	949	1440	7	974	733	2631	934	2577	121	1062	1037	675	579	237	181	996	1128	440	312
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
0	0	0	0	0	0	0	1	0	2	3	0	0	0	1	4	0	7	0	0	0	0
1470	1708	1839	1974	2726	400	2579	1106	3035	1758	4564	184	1716	1759	1111	659	411	179	945	1578	360	440
0	0	3	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	6	0	3	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	18	0	5	1	4	0	0	0	0	5	0	0	2	0	0	0
132	44	77	47	169	0	12	39	190	120	285	21	157	101	42	58	36	63	44	31	0	44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	54	53	8	0	0	0	5	9	12	26	0	9	2	0	7	0	0	0	1	0	0
0	0	18	5	32	0	37	2	5	8	4	0	6	32	0	12	0	6	26	32	84	51
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
52	0	0	0	0	0	0	0	4	3	1	0	2	35	0	10	0	50	0	63	0	154
0	0	0	0	0	0	0	1	5	0	0	0	0	12	0	6	0	0	0	30	0	119
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	145	154	769	287	0	1124	526	238	146	393	39	240	362	88	96	122	114	258	466	140	444
0	64	33	30	109	77	161	36	192	130	161	49	219	49	54	68	34	31	14	24	114	90
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	1	1	0	1	0	3	1	0	0	1	3	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	50	7	1	0	0	0	0	16	11	25	0	5	7	0	3	0	0	0	2	0	0
116	76	208	72	206	5	48	91	705	1067	503	98	1808	176	182	271	272	336	6	41	0	53
0	0	12	3	0	0	0	10	21	17	6	0	19	3	0	25	10	19	0	7	0	11
21	44	2	8	34	0	0	13	64	75	21	5	97	33	13	24	20	18	8	18	24	34
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305	209	325	259	883	63	318	424	137	157	274	55	205	167	67	80	71	60	102	165	38	168
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	3	1	0	11	7	10	2	0	0	19	17	6	177
4	51	54	75	110	148	146	84	28	38	17	0	54	86	67	42	95	22	42	194	0	458
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	0	99	8	51	0	12	6	24	71	7	31	140	362	125	132	259	96	438	590	747	2890
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0
0	0	15	7	0	0	0	6	47	44	4	0	117	49	53	6	76	0	1	44	0	81
0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	13	0	0	0	0	0
1274	1148	1553	3490	3347	433	3514	2921	2246	1461	4063	677	2693	2644	1607	1035	1891	732	1455	2502	835	1608
21	128	157	173	140	174	177	134	21	25	23	0	12	525	27	23	18	7	401	684	109	261
309	154	287	203	420	0	156	197	103	83	120	8	148	76	38	45	40	22	50	36	22	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8
555	386	623	1047	887	174	1146	827	819	682	1362	100	871	1129	552	304	715	208	464	1140	250	657
632	908	895	1170	1560	195	2518	1107	1087	806	1554	190	1626	1390	546	333	684	268	676	1595	315	997
869	648	1066	1520	827	431	1143	1158	687	441	967	18	404	648	348	163	223	45	995	861	315	273
7298	6226	8485	3962	7635	592	8251	1942	15650	5229	21195	1180	5970	5791	4167	3585	1931	1682	3850	4866	1267	1141
0	0	0	0	0	0	0	0	1	0	2	0	5	0	1	0	0	0	1	0	0	0
887	933	820	2315	2067	221	1830	1813	1086	691	1644	62	1120	1537	626	379	776	162	973	1818	178	558
36525	20878	24303	50077	92140	3037	59667	51089	52976	59740	66338	45596	42144	68412	38575	20284	61165	19858	52967	66304	45644	141261
5723	6781	7308	9424	8935	3182	19199	6688	8944	5594	20146	1547	8115	11130	4510	2648	3823	1258	6313	11981	3214	4561
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	58	50	25	0	0	0	11	5	5	20	0	3	11	6	1	0	0	0	2	0	3
251	322	317	152	910	0	113	104	85	129	125	29	263	129	25	67	68	103	48	168	5	153
0	0	0	0	0	0	0	1	3	0	2	0	0	4	0	0	0	0	0	0	0	0
58	23	9	7	0	0	0	7	1	5	4	0	1	4	0	0	0	0	0	2	0	3
0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	27	44	18	0	0	10	10	16	24	19	0	11	19	2	3	0	5	0	11	0	17
21	83	38	235	191	1	265	192	42	30	93	1	19	187	68	29	52	19	217	294	17	236
884	1063	975	1331	1418	145	2628	1679	1506	1681	3044	979	2632	2878	1148	796	2897	1329	1508	2600	1078	3229
506	1100	585	655	1184	95	1623	1110	731	1008	1243	1035	1480	1666	723	589	2006	928	1074	1765	1278	3530
0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	12	0	0	0	0
0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
241	414	338	192	239	0	636	129	612	374	723	18	151	353	166	87	22	6	244	237	37	49
90	130	95	265	211	47	326	361	289	358	562	188	691	506	236	149	439	152	282	554	251	594
553	452	532	2793	1348	88	3641	2094	715	460	1051	68	566	2003	650	363	599	122	1433	3024	765	1054
59	0	14	18	58	0	15	13	37	18	64	13	8	23	15	10	0	8	3	17	0	33
3	70	51	41	62	0	35	24	22	3	34	6	11	39	1	4	0	0	16	8	0	4
1871	1811	1397	1629	3223	663	4730	2613	830	892	1943	293	1860	1843	446	259	1315	770	642	1555	407	1667
363	261	193	291	906	99	478	316	443	493	616	199	1026	432	251	123	651	146	264	376	144	775
666	192	182	116	471	0	29	93	407	328	449	50	439	167	111	133	66	104	33	71	0	107
529	192	531	610	1069	125	1219	974	265	277	584	84	509	683	194	145	258	313	336	657	346	796
124	115	186	124	72	84	64	136	44	35	109	11	95	94	24	5	36	41	51	96	61	115
2218	1325	1702	1166	4438	368	1351	873	2120	1374	3241	422	2304	999	1105	1249	1161	754	374	647	84	359
0	0	9	1	0	0	0	1	9	0	8	0	14	2	4	1	0	7	0	0	0	0
2550	1964	2139	2121	3520	424	3492	4083	1535	1647	3223	1672	3701	2763	974	620	3717	1919	827	2242	892	3332
1670	2356	3182	2463	3002	796	4012	1647	2399	1273	5340	121	1065	2595	905	619	483	129	1706	3220	386	960
130	84	27	128	95	32	275	104	67	107	149	77	106	203	97	24	85	87	161	230	127	393
18545	14648	17028	19663	13997	2396	33146	10340	17098	27496	20089	9474	9276	19922	14741	8695	16004	7932	18448	25108	11521	43059
22	0	0	12	0	0	9	3	19	29	43	5	8	37	25	3	71	2	44	55	0	2
272	312	376	401	495	2	160	766	553	167	509	38	221	510	164	116	340	33	347	594	311	228
3358	6394	9338	5322	4749	1983	6986	7867	8322	2530	11619	901	2655	5083	3427	2573	1582	1206	4467	6037	570	1111
267	243	232	331	208	19	862	388	587	538	1171	140	1124	726	357	210	583	284	287	545	136	421
131	124	84	301	491	83	326	418	251	170	338	69	492	243	189	102	344	173	178	264	104	395
4261	3585	3841	3834	4221	509	2724	2937	5692	2296	6220	360	2400	2128	1790	1304	738	416	1202	2148	518	761
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6246	8289	9136	6725	7103	4207	12733	3214	6325	4561	12174	304	2826	5796	2151	1449	547	255	3965	7238	1271	2332
658	889	789	1364	1261	79	1693	1146	2117	880	3038	286	1555	1390	950	680	788	398	1069	1280	232	725
0	0	0	5	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0
246	400	211	607	492	124	805	630	601	682	1076	268	972	938	376	234	479	175	464	1229	199	950
1081	823	809	2687	1884	235	2258	2228	814	499	1579	128	887	1539	612	283	444	144	913	2192	461	1149
1234	1729	1647	1665	1911	117	1742	1587	1970	713	2352	348	1380	1517	797	501	559	311	1543	1769	550	772
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	1	0	0
242	234	188	199	803	7	359	160	1426	627	1210	239	904	549	267	229	303	196	198	514	10	244
0	0	6	2	0	0	0	0	4	6	3	27	8	0	0	3	24	25	24	13	5	55
343	548	470	972	892	121	1402	913	556	469	917	144	644	806	345	230	466	106	513	930	314	607
415	448	519	714	463	239	1602	620	790	858	948	288	1324	1308	419	248	811	426	727	1497	485	1492
1026	1158	1045	985	1191	127	586	1007	2091	770	1979	103	866	530	457	342	206	122	519	554	40	159
156	100	87	80	274	0	112	82	113	62	229	15	127	150	37	38	0	29	20	153	0	71
660	858	1019	1869	2726	8	1486	2108	1529	875	2310	440	1984	1744	727	428	810	421	892	1849	573	918
0	0	0	1	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0
348	458	593	1009	1263	174	1520	1188	1186	994	2549	1481	2322	1558	898	534	2308	1048	693	1344	323	1292
276	327	253	495	567	8	696	548	282	297	540	56	349	392	225	131	351	144	237	550	64	217
49	31	63	398	340	167	829	298	354	240	302	69	396	429	234	88	78	75	240	794	34	459
192	392	404	195	202	61	269	144	47	28	109	0	53	41	22	21	30	10	13	32	28	7
0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	7	71	0	0	21	101	34	39	38	0	56	20	16	13	40	10	31	48	13	82
4122	4198	3690	5226	6138	1300	9032	5446	3918	3152	8216	1126	5970	7194	2209	1420	3060	1635	3012	6561	1857	5039
1945	2002	1981	1854	2474	683	3121	4322	1443	1354	4176	1409	3046	3681	788	517	2698	2340	741	2279	1437	6269
924	669	734	658	1862	208	849	1963	991	1256	1175	823	2191	1208	701	423	2082	528	684	787	743	1424
122	34	74	115	192	3	145	163	252	361	179	407	561	198	159	154	366	306	134	159	65	340
95	149	64	81	49	0	131	101	98	80	117	0	58	160	82	39	73	32	52	129	16	113
0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	3	0	0	0	0	0	0
38	0	78	48	37	0	0	29	29	30	27	14	13	14	19	15	0	8	3	4	0	0
1134	1071	1027	2174	2196	489	3819	1939	2332	2167	3219	480	3029	2536	1345	838	1213	821	1744	2869	895	1837
1499	1287	1889	1140	2954	173	1011	850	2261	1432	2386	223	2327	804	557	564	601	457	697	614	165	223
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	3	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
59	129	179	48	308	41	52	96	184	149	234	53	207	65	40	126	63	10	15	7	12	6
704	851	1157	3183	1265	505	4317	2135	2129	1298	2632	270	1704	2200	860	582	538	213	1347	3111	337	898
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
547	695	406	684	1687	440	973	1522	754	735	985	518	1773	904	443	297	1021	435	473	839	301	1280
186	75	239	90	372	76	117	82	166	295	348	69	377	87	115	61	154	56	31	40	0	30
140	136	169	1557	394	20	2757	1905	361	269	588	236	639	2838	767	293	2107	536	1780	4476	1517	5707
883	745	632	819	1769	362	1619	1152	1757	1909	2403	2649	4383	2163	1173	714	4195	1548	1186	2290	947	4288
535	232	550	591	1762	11	892	1015	859	754	1273	520	1697	837	548	304	1203	693	324	668	198	793
321	130	170	362	711	2	407	315	359	277	802	137	536	363	164	119	266	168	87	399	138	267
692	284	624	1595	1766	59	882	1478	1124	464	1059	140	1027	675	423	320	412	222	667	969	215	497
244	292	195	106	330	0	164	87	435	331	843	85	390	229	288	140	285	131	1	9	26	17
341	104	174	510	685	4	956	799	297	411	493	81	599	633	333	190	699	589	434	766	111	1189
98	44	119	213	320	78	500	370	103	59	225	7	62	159	80	45	88	24	128	215	62	82
572	364	345	178	820	120	541	248	1312	2182	1419	381	2896	764	323	342	536	511	279	641	202	811
0	13	0	2	0	0	27	2	1	0	1	0	17	0	2	2	0	2	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0
281	222	126	101	420	241	345	67	1576	1511	1398	342	1763	703	351	363	259	282	41	119	89	72
0	0	0	2	0	0	74	19	19	3	0	6	6	12	1	24	0	31	91	25	53	37
831	801	1027	5988	2497	261	4426	5923	2388	1095	2694	415	1886	5061	1433	1028	1427	477	3479	8612	1304	2797
21842	18156	21765	30022	28416	3823	43270	18733	19653	27869	36000	11811	14612	31492	18775	12029	21088	9289	29357	35749	18479	46871
543	615	614	824	1051	134	2642	922	863	1097	2297	623	1857	1777	752	473	1589	833	675	1455	835	1960
4233	3551	4324	6227	7328	1683	9139	5625	9444	7335	15608	1755	11771	9017	5546	3532	6203	2626	6762	9014	3026	4150
0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
283	357	308	788	481	69	1387	917	390	379	599	98	715	1398	354	166	436	135	1115	1639	945	1259
486	355	366	597	703	156	1641	647	880	820	1975	523	1371	985	580	362	971	540	474	934	241	679
125	188	93	194	562	86	617	354	364	292	667	347	635	623	205	165	630	244	379	606	306	767
169	303	208	298	381	1	440	304	424	409	694	98	701	418	235	118	373	169	131	448	94	229
2054	1330	1435	4399	3678	233	5911	4184	4120	2293	6540	921	3448	5605	2604	1395	3870	1255	4014	7518	3354	5144
149	237	121	294	482	1	613	331	234	269	599	165	517	699	241	98	636	203	499	830	246	1105
347	320	297	589	878	137	1138	674	422	389	1112	253	959	1097	311	156	656	305	544	1139	417	1244
566	519	594	677	1579	90	1214	874	1456	1896	1990	1258	3275	2015	917	697	1872	883	646	1265	949	2616
1194	886	1266	1205	1768	297	1799	1277	1379	1054	2046	257	1530	1389	665	367	994	177	594	1597	279	710
0	0	0	1	0	0	0	0	0	1	1	0	0	11	0	0	0	0	0	9	0	0
0	28	2	0	0	0	0	0	1	0	0	0	0	1	0	1	3	1	0	0	0	1
0	0	7	2	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0
0	52	1	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	1	0	19
0	0	0	3	0	0	0	3	2	21	2	0	11	37	1	43	8	26	17	46	15	142
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
54	0	0	1	0	0	0	1	3	0	5	0	0	0	0	0	0	0	0	0	0	0
208	115	168	411	451	33	173	337	274	201	534	32	232	290	202	98	265	68	73	276	90	82
76	40	74	263	201	1	116	228	116	113	209	14	145	138	81	41	98	7	74	169	11	115
0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0
3499	4700	5280	7396	4714	1291	8568	4297	6220	2878	12236	699	3260	5776	3157	1780	1662	687	4879	6430	1542	2627
39	2	61	1534	2	2	1313	1359	111	106	115	34	101	594	373	133	328	123	494	1057	231	587
119	166	387	684	846	123	1338	478	307	200	419	15	290	556	213	107	123	83	354	845	288	247
8583	11740	12436	12942	17183	3977	16846	7271	11801	6766	24238	880	6566	13298	5040	3059	2736	820	9156	10714	4847	5491
145	87	123	333	284	2	428	272	365	489	407	70	652	621	157	138	229	157	461	830	170	585
195	186	277	914	950	91	946	1046	378	196	539	168	362	617	277	129	541	135	295	666	140	646
270	296	231	760	335	317	1344	839	570	553	1277	212	929	1242	446	297	847	467	426	944	394	1449
309	284	435	1263	352	64	1198	769	536	251	784	42	301	617	312	167	115	63	566	848	253	350
97	32	154	133	129	1	244	64	160	30	195	1	31	87	28	19	0	0	47	90	0	26
164	262	286	545	883	0	365	682	474	265	579	124	365	491	234	189	597	139	375	527	111	422
249	114	172	746	311	41	1454	892	350	316	543	59	502	1088	441	213	561	211	730	1941	345	1208
236	205	225	606	465	59	440	681	362	229	711	139	586	727	278	203	385	224	302	798	111	730
46	227	107	34	144	0	12	60	267	208	191	37	275	90	80	122	222	34	17	19	17	27
0	38	28	17	45	0	0	14	14	6	15	0	21	1	7	8	46	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0
0	0	8	1	0	0	0	0	1	6	4	11	8	0	3	0	0	5	0	0	0	0
193	58	57	177	250	3	231	240	254	215	542	59	547	526	189	98	394	154	222	445	69	439
0	0	0	4	0	0	0	2	3	2	3	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	5	1	5	0	0
5	1	1	7	12	0	866	9	18	682	45	1	1884	22	8	26	10	44	57	6	46	78
1394	1287	1109	3077	2180	278	3898	1480	3054	1577	7128	304	1518	4859	1903	1275	1148	612	3774	7156	1669	3189
